EAN;Descripción;Provincia;Precio
7792280005662;Bizcochos Común Cachamai 180 gr;AMBA;60,53
7792280005679;Bizcochos Con Romero Cachamai 180 gr;AMBA;60,53
7792280005709;Yerba Mate Amarilla Cachamate 1 kg;AMBA;420,00
7798013100697;Salame Tandilero Tipo Fuet en Pieza Cagnoli 150 gr;AMBA;356,55
7798013106828;Salame Tandilero Tipo Milán Feteado Cagnoli 150 gr;AMBA;253,58
7891136052000;Aperitivo Bitter Campari 750 ml;AMBA;587,49
7798131200828;Aperitivo Americano Cinzano 950 ml;AMBA;413,10
7791200000510;Ginebra Bicentenario Bols 1 lt;AMBA;406,47
7791200000268;Licor Dulce de Leche Premium Bols 700 cc;AMBA;373,76
8480017134332;Algodón Hidrofilo Bonté 300 gr;AMBA;248,40
8480017134356;Hisopos Bonté 125 un;AMBA;125,99
EAN;Descripción;Provincia;Precio
7790522002844;Ñoquis Mendía 1 kg;AMBA;221,91
7790522117876;Ravioles Ricota Sumasa 500 gr;AMBA;110,98
7790522117890;Ravioles Pollo y Verdura Sumasa 500 gr;AMBA;110,98
7790522000031;Tapas de Pasteles Mendía 24 un;AMBA;82,40
7790522001694;Tapas de Tarta Pascualina Mediana Mendía 230 gr;AMBA;59,84
7790522118088;Tapas de Empandas Horno/Freir 300 gr;AMBA;97,00
7790522012188;Tapa de Tarta Pascualina Light 400 gr;AMBA;118,00
7793147001704;Cerveza Rubia Sol en Lata 473 Cc;AMBA;174,90
7793147570927;Cerveza En Lata Warsteiner 473 cc;AMBA;119,80
7793147570828;Cerveza Rubia Retornable Isenbeck 1 lt;AMBA;120,40
7793147570989;Cerveza Rubia Warsteiner 1 lt;AMBA;184,30
7793147001179;Cerveza Rubia Palermo 1 lt;AMBA;133,60
7790168002505;Vino Colon Syrah 750cc NR 1x6;AMBA;230,00
7794903231540;Alfajor Dulce De Leche. Caja X 6 Chammas 240gr;AMBA;353,88
7794903232165;Alfajor Chocolate Sin Tacc Yüka 50gr;AMBA;58,99
7794903232424;Alfajor Fruta Sol Serrano 40gr;AMBA;22,15
7794903232479;Caja De Alfajores Chocolate X 6 Sin Tacc Yüka 300gr;AMBA;322,70
7794903232417;SOL SERRANO ALFAJOR DULCE DE LECHE 40GR;AMBA;30,57
7794903232110;Caja de Conitos Sol Serrano x 6 unidades (3N y 3B) 228gr;AMBA;359,00
7794903232509;Caja de Alfajores Surtidos x 6 unidades 300gr;AMBA;350,00
